,movie_ID,title,genre,year
0,1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995
1,2,Jumanji,Adventure|Children|Fantasy,1995
2,3,Grumpier Old Men,Comedy|Romance,1995
3,4,Waiting to Exhale,Comedy|Drama|Romance,1995
4,5,Father of the Bride Part II,Comedy,1995
5,6,Heat,Action|Crime|Thriller,1995
6,7,Sabrina,Comedy|Romance,1995
7,8,Tom and Huck,Adventure|Children,1995
8,9,Sudden Death,Action,1995
9,10,GoldenEye,Action|Adventure|Thriller,1995
10,11,"American President, The",Comedy|Drama|Romance,1995
11,12,Dracula: Dead and Loving It,Comedy|Horror,1995
12,13,Balto,Adventure|Animation|Children,1995
13,14,Nixon,Drama,1995
14,15,Cutthroat Island,Action|Adventure|Romance,1995
15,16,Casino,Crime|Drama,1995
16,17,Sense and Sensibility,Drama|Romance,1995
17,18,Four Rooms,Comedy,1995
18,19,Ace Ventura: When Nature Calls,Comedy,1995
19,20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995
20,21,Get Shorty,Comedy|Crime|Thriller,1995
21,22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995
22,23,Assassins,Action|Crime|Thriller,1995
23,24,Powder,Drama|Sci-Fi,1995
24,25,Leaving Las Vegas,Drama|Romance,1995
25,26,Othello,Drama,1995
26,27,Now and Then,Children|Drama,1995
27,28,Persuasion,Drama|Romance,1995
28,29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995
30,31,Dangerous Minds,Drama,1995
31,32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995
32,33,Wings of Courage,Adventure|Romance|IMAX,1995
33,34,Babe,Children|Drama,1995
34,35,Carrington,Drama|Romance,1995
35,36,Dead Man Walking,Crime|Drama,1995
36,37,Across the Sea of Time,Documentary|IMAX,1995
37,38,It Takes Two,Children|Comedy,1995
38,39,Clueless,Comedy|Romance,1995
39,40,"Cry, the Beloved Country",Drama,1995
40,41,Richard III,Drama|War,1995
41,42,Dead Presidents,Action|Crime|Drama,1995
42,43,Restoration,Drama,1995
43,44,Mortal Kombat,Action|Adventure|Fantasy,1995
44,45,To Die For,Comedy|Drama|Thriller,1995
45,46,How to Make an American Quilt,Drama|Romance,1995
46,47,Seven (a.k.a. Se7en),Mystery|Thriller,1995
47,48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995
48,49,When Night Is Falling,Drama|Romance,1995
49,50,"Usual Suspects, The",Crime|Mystery|Thriller,1995
50,51,Guardian Angel,Action|Drama|Thriller,1994
51,52,Mighty Aphrodite,Comedy|Drama|Romance,1995
52,53,Lamerica,Adventure|Drama,1994
53,54,"Big Green, The",Children|Comedy,1995
54,55,Georgia,Drama,1995
55,56,Kids of the Round Table,Adventure|Children|Comedy|Fantasy,1995
56,57,Home for the Holidays,Drama,1995
57,58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994
58,59,"Confessional, The (Confessionnal, Le)",Drama|Mystery,1995
59,60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995
60,61,Eye for an Eye,Drama|Thriller,1996
61,62,Mr. Holland's Opus,Drama,1995
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996
63,64,Two if by Sea,Comedy|Romance,1996
64,65,Bio-Dome,Comedy,1996
65,66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996
66,67,Two Bits,Drama,1995
67,68,French Twist (Gazon maudit),Comedy|Romance,1995
68,69,Friday,Comedy,1995
69,70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996
70,71,Fair Game,Action,1995
71,72,Kicking and Screaming,Comedy|Drama,1995
72,73,"Misérables, Les",Drama|War,1995
73,74,Bed of Roses,Drama|Romance,1996
74,75,Big Bully,Comedy|Drama,1996
75,76,Screamers,Action|Sci-Fi|Thriller,1995
76,77,Nico Icon,Documentary,1995
77,78,"Crossing Guard, The",Action|Crime|Drama|Thriller,1995
78,79,"Juror, The",Drama|Thriller,1996
79,80,"White Balloon, The (Badkonake sefid)",Children|Drama,1995
80,81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995
81,82,Antonia's Line (Antonia),Comedy|Drama,1995
82,83,Once Upon a Time... When We Were Colored,Drama|Romance,1995
83,84,Last Summer in the Hamptons,Comedy|Drama,1995
84,85,Angels and Insects,Drama|Romance,1995
85,86,White Squall,Action|Adventure|Drama,1996
86,87,Dunston Checks In,Children|Comedy,1996
87,88,Black Sheep,Comedy,1996
88,89,Nick of Time,Action|Thriller,1995
89,90,The Journey of August King,Drama,1995
90,92,Mary Reilly,Drama|Horror|Thriller,1996
91,93,Vampire in Brooklyn,Comedy|Horror|Romance,1995
92,94,Beautiful Girls,Comedy|Drama|Romance,1996
93,95,Broken Arrow,Action|Adventure|Thriller,1996
94,96,In the Bleak Midwinter,Comedy|Drama,1995
95,97,"Hate (Haine, La)",Crime|Drama,1995
96,98,Shopping,Action|Thriller,1994
97,99,Heidi Fleiss: Hollywood Madam,Documentary,1995
98,100,City Hall,Drama|Thriller,1996
99,101,Bottle Rocket,Adventure|Comedy|Crime|Romance,1996
100,102,Mr. Wrong,Comedy,1996
101,103,Unforgettable,Mystery|Sci-Fi|Thriller,1996
102,104,Happy Gilmore,Comedy,1996
103,105,"Bridges of Madison County, The",Drama|Romance,1995
104,106,Nobody Loves Me (Keiner liebt mich),Comedy|Drama,1994
105,107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,1996
106,108,Catwalk,Documentary,1996
107,109,Headless Body in Topless Bar,Comedy|Drama|Thriller,1995
108,110,Braveheart,Action|Drama|War,1995
109,111,Taxi Driver,Crime|Drama|Thriller,1976
110,112,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,1995
111,113,Before and After,Drama|Mystery,1996
112,114,Margaret's Museum,Drama,1995
113,115,"Happiness Is in the Field (Bonheur est dans le pré, Le)",Comedy,1995
114,116,Anne Frank Remembered,Documentary,1995
115,117,"Young Poisoner's Handbook, The",Crime|Drama,1995
116,118,If Lucy Fell,Comedy|Romance,1996
117,119,"Steal Big, Steal Little",Comedy,1995
118,120,Race the Sun,Adventure|Comedy|Drama,1996
119,121,"Boys of St. Vincent, The",Drama,1992
120,122,Boomerang,Comedy|Romance,1992
121,123,Chungking Express (Chung Hing sam lam),Drama|Mystery|Romance,1994
122,124,"Star Maker, The (Uomo delle stelle, L')",Drama,1995
123,125,Flirting With Disaster,Comedy,1996
124,126,"NeverEnding Story III, The",Adventure|Children|Fantasy,1994
125,127,"Silences of the Palace, The (Saimt el Qusur)",Drama,1994
126,128,Jupiter's Wife,Documentary,1994
127,129,Pie in the Sky,Comedy|Romance,1996
128,130,Angela,Drama,1995
129,131,Frankie Starlight,Drama|Romance,1995
130,132,Jade,Thriller,1995
131,133,Nueba Yol,Comedy|Drama,1995
132,134,Sonic Outlaws,Documentary,1995
133,135,Down Periscope,Comedy,1996
134,136,From the Journals of Jean Seberg,Documentary,1995
135,137,Man of the Year,Documentary,1995
136,138,"Neon Bible, The",Drama,1995
137,139,Target,Action|Drama,1995
138,140,Up Close and Personal,Drama|Romance,1996
139,141,"Birdcage, The",Comedy,1996
140,142,Shadows (Cienie),Drama,1988
141,143,Gospa,Drama,1995
142,144,"Brothers McMullen, The",Comedy,1995
